batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,1.  **Official Brand Website**,2.  **FSSAI Nutrition Databases**,3.  **Indian Food Composition Tables (NIN-ICMR)**,- energy_kcal_per_100g,- carbs_g_per_100g,- total_sugars_g_per_100g,- protein_g_per_100g,- fat_g_per_100g,- saturated_fat_g_per_100g,- fiber_g_per_100g,- sodium_mg_per_100g,- salt_g_per_100g
71,jiomart_postman_postman_filtered_groundnut_oil_3l_mustard_oil_1l,Postman Filtered Groundnut Oil 3L & Mustard Oil 1L,Postman,essentials,oil,3.0,L,1080.0,jiomart,,,,,14.0,8.5,0.2,0.1,0.05,"Groundnut oil, Mustard oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,,,,
72,jiomart_mothers_recipe_mothers_recipe_desi_szechwan_chutney_1_kg,Mother's Recipe Desi Szechwan Chutney 1 kg,Mother'S Recipe,flavourings,pickles-chutney,1.0,kg,136.0,jiomart,,,,0.1,2.5,1.8,,150.0,3.0,,,,,,,,,,,,,,,,,,
73,jiomart_kesari_kesari_naturally_low_gi_sugar_1_kg,Kesari Naturally Low GI Sugar 1 kg,Kesari,essentials,salt-sugar,1.0,kg,115.0,jiomart,360.0,64.5,12.8,2.3,11.9,4.1,0.5,150.0,10.0,,,,,,,,,,,,,,,,,,
74,jiomart_good_life_good_life_mogra_basmati_rice_10_kg,Good Life Mogra Basmati Rice 10 kg,Good Life,essentials,rice,10.0,kg,529.0,jiomart,368.0,74.2,1.8,4.5,0.3,0.1,0.6,2.0,0.4,,,,,,,,,,,,,,,,,,
75,jiomart_momsy_momsy_premium_2kg_toor_dal_arhar_dal_split_pea_pulses,Momsy Premium 2kg Toor Dal / Arhar Dal / Split Pea Pulses,Momsy,essentials,pulses,2.0,kg,450.0,jiomart,348.0,72.0,1.9,16.8,2.5,0.7,6.3,1.0,0.4,,,,,,,,,,,,,,,,,,
76,jiomart_naalam_naalam_salt_lemon_authentic_tangy_white_lemon_flavor_authentic_kerala_style_homemade_pickle_l,Naalam Salt Lemon Authentic Tangy white Lemon Flavor | Authentic Kerala Style Homemade Pickle | Lemon Kerala Achaar | | South Indian Pickle (- 350G Jar),Naalam,flavourings,pickles-chutney,350.0,g,119.0,jiomart,50.0,10.0,5.0,0.0,2.0,1.0,0.0,200.0,10.0,,,,,,,,,,,,,,,,,,
77,jiomart_tinkus_tinkus_katahal_ka_achaar_jackfruit_pickle_traditional_homemade_style_spicy_flavorful_pack_siz,TINKUS Katahal Ka Achaar | Jackfruit Pickle | Traditional Homemade Style | Spicy & Flavorful |Pack Size - 200g,Tinkus,flavourings,pickles-chutney,200.0,g,220.0,jiomart,120.0,25.0,10.0,1.0,4.0,0.5,2.0,200.0,1.0,,,,,,,,,,,,,,,,,,
78,jiomart_marwar_marwar_himalayan_black_saltkala_namak_whole_crystal_organic_1_kilograms,Marwar Himalayan Black Salt/Kala Namak Whole Crystal Organic (1 Kilograms),Marwar,essentials,salt-sugar,1.0,kg,199.0,jiomart,,0.2,0.1,0.1,0.05,0.02,,500.0,98.0,,,,,,,,,,,,,,,,,,
79,jiomart_kyk_foods_kyk_foods_chana_sattu_powder_sattoo_16_kg_800g_x_2_packs_sattu_drink,KYK FOODS chana Sattu Powder Sattoo 1.6 kg (800g x 2 Packs) sattu drink,Kyk Foods,essentials,flour,1.6,kg,449.0,jiomart,,65.2,10.8,6.4,3.5,1.7,0.9,,2.8,,,,,,,,,,,,,,,,,,
80,jiomart_pink_delight_pink_delight_kala_chana_black_chickpeas_500_gm_pack,Pink Delight | Kala Chana | Black Chickpeas | 500 Gm Pack,Pink Delight,essentials,pulses,500.0,g,195.0,jiomart,369.0,74.8,2.4,14.6,7.5,0.9,10.3,2.0,0.4,,,,,,,,,,,,,,,,,,
81,jiomart_bambino_bambino_instant_upma_mix_each_180gms_x_pack_of_4_720_gms,Bambino Instant Upma Mix Each 180Gms X Pack of 4 ( 720 Gms),Bambino,ready_to_eat,ready-to-eat,180.0,g,199.0,jiomart,370.0,74.0,11.0,4.0,14.0,3.0,2.0,250.0,1.0,,,,,,,,,,,,,,,,,,
82,jiomart_bb_organics_bb_organics_wheat_vermicelli_180g_wheat_sevai_natural_and_preservative_free_zero_additiv,B&B Organics Wheat Vermicelli (180g)/ Wheat Sevai / Natural and Preservative Free/ Zero Additives,B&B Organics,noodles_pasta,noodles-pasta,180.0,g,187.0,jiomart,350.0,74.0,2.0,9.0,3.0,1.5,0.8,10.0,2.0,,,,,,,,,,,,,,,,,,
83,jiomart_green_piece_green_piece_mix_pickle_250gm_pack_of_1,Green Piece Mix Pickle 250gm (Pack of 1),Green Piece,flavourings,pickles-chutney,250.0,g,199.0,jiomart,,10.2,7.4,0.5,6.1,3.9,0.8,120.0,2.4,,,,,,,,,,,,,,,,,,
84,jiomart_luvit_luvit_luscious_fruit_nut_chocolate_bars_multipack_deliciously_smooth_pack_of_10_52g_each,LuvIt Luscious Fruit & Nut Chocolate Bars| Multipack| Deliciously Smooth| Pack of 10 - 52g Each,Luvit,chocolate,chocolate,52.0,g,698.0,jiomart,550.0,63.0,46.0,6.0,31.0,20.0,2.0,150.0,0.5,,,,,,,,,,,,,,,,,,
85,jiomart_swad_swad_mixed_pickle_200g,SWAD Mixed Pickle 200g,Swad,flavourings,pickles-chutney,200.0,g,129.0,jiomart,57.0,7.2,4.5,0.6,3.8,1.2,0.9,140.0,4.0,,,,,,,,,,,,,,,,,,
86,jiomart_tri_swastik_tri_swastik_authentic_garlic_chutney_300_gm_traditional_lahsun_chutney_spicy_flavorful_h,Tri Swastik Authentic Garlic Chutney 300 Gm | Traditional Lahsun Chutney | Spicy & Flavorful Homemade Style - No Preservatives,Tri Swastik,flavourings,pickles-chutney,300.0,g,240.0,jiomart,,10.2,6.3,0.5,7.1,4.8,0.9,120.0,2.5,,,,,,,,,,,,,,,,,,
87,jiomart_poorvigam_poorvigam_cold_pressed_sesame_oil_til_oil_gingelly_oil_2_ltr,Poorvigam Cold Pressed Sesame Oil| TIL Oil| Gingelly Oil| 2 LTR,Poorvigam,essentials,oil,2.0,L,999.0,jiomart,,0.4,0.1,0.2,13.5,9.8,0.4,,0.1,"Mustard oil, Sesame seeds",10ml,20.0,,,,,,,,,,,,,,,
88,jiomart_gustora_gustora_instant_pasta_with_different_flavoured_pesto_basil_pastatomato_basil_pasta_cream_che,"Gustora Instant Pasta with different flavoured ( Pesto & Basil Pasta,Tomato & Basil Pasta, Cream & Cheese ) Pasta Combo (Pack of 6, 390g)",Gustora,noodles_pasta,noodles-pasta,390.0,g,135.0,jiomart,370.0,65.0,4.0,6.0,12.0,3.5,2.0,350.0,1.0,,,,,,,,,,,,,,,,,,
89,jiomart_well_green_well_green_rolled_oats_18_kg_gluten_free_oats_healthy_breakfast_cereal_diet_food_keeps_yo,WELL GREEN Rolled Oats 1.8 kg Gluten Free Oats | Healthy Breakfast Cereal | Diet Food | Keeps you Full till Lunch (900 gm pack of 2),Well Green,snacks,breakfast,1.8,kg,480.0,jiomart,,64.5,1.2,9.7,3.8,0.6,4.5,,0.2,"Rolled Oats, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,,,,
90,jiomart_green_piece_green_piece_active_dry_yeast_50gm,Green Piece Active Dry yeast 50gm.,Green Piece,ready_to_eat,ready-to-eat,50.0,g,199.0,jiomart,,,,,,,0.1,,,"Active Dry Yeast, Mustard Oil, Jaggery",30g,7.0,,,,,,,,,,,,,,,
91,jiomart_kush_gold_kush_gold_cowpea_red_beans_red_chowli_whole_lal_chawli_red_eyed_cowpeas_500g,Kush Gold Cowpea Red Beans / Red Chowli Whole / Lal Chawli / Red Eyed Cowpeas (500g),Kush Gold,essentials,pulses,500.0,g,240.0,jiomart,348.0,74.2,4.9,21.7,5.3,1.8,6.2,0.4,0.7,,,,,,,,,,,,,,,,,,
92,jiomart_good_life_good_life_dried_fig_anjeer_250_g,Good Life Dried Fig (Anjeer) 250 g,Good Life,essentials,dry-fruits-nuts,250.0,g,374.0,jiomart,,64.5,55.3,1.2,0.8,0.4,7.9,,,,,,,,,,,,,,,,,,,,
93,jiomart_goshudh_goshudh_best_quality_peanut_500gm_pack_of_1_moongfali_500_g,Goshudh Best Quality Peanut -500gm (Pack Of 1) Moongfali (500 g),Goshudh,essentials,pulses,500.0,g,95.0,jiomart,550.0,24.2,1.5,20.3,26.9,10.4,6.2,0.5,1.0,,,,,,,,,,,,,,,,,,
94,jiomart_tummyfriendly_foods_tummyfriendly_foods_usda_organic_certified_stage3_sprouted_porridge_mixes_combo_,"TummyFriendly Foods USDA Organic Certified Stage3 Sprouted Porridge Mixes Combo - 4 Packs With Brown Rice, Organic Baby Food for 8 Months Old Baby, 4 Packs, 200g Each/cereals|Cereals",Tummyfriendly Foods,baby,baby,3.0,Sprouted,949.0,jiomart,350.0,60.0,20.0,10.0,15.0,8.0,2.0,200.0,1.0,,,,,,,,,,,,,,,,,,
95,jiomart_nutty_harvest_nutty_harvest_choco_nut_spread_chocolate_crunchy_500g_crunchy_cocoa_peanut_spread_with,"NUTTY HARVEST Choco & Nut Spread Chocolate Crunchy | 500g | Crunchy Cocoa Peanut Spread with Nutty Bites | Rich in Protein | Perfect for Roti, Toast & Shakes | No Preservatives | Veg",Nutty Harvest,spread,sauce-ketchup-butter,500.0,g,249.0,jiomart,575.0,73.0,24.0,8.0,26.0,14.0,2.0,150.0,1.0,"Mustard Oil, Sugar, Cocoa Powder, Peanut, Jaggery Syrup, Spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,,,,
96,jiomart_wheafree_wheafree_gluten_free_choco_cake_mix_500g_and_vanilla_cake_mix_500g_combo_pack_lactose_free_,Wheafree Gluten Free Choco Cake Mix (500g) and Vanilla Cake Mix (500g) Combo Pack| Lactose Free | Diabetic Friendly | Hassle Free And Quick Baking | Best for Home Baking | Joyful Baking,Wheafree,ready_to_eat,ready-to-eat,500.0,g,390.0,jiomart,,43.2,24.8,5.1,12.3,7.9,0.6,,0.4,"Mustard Oil, Sugar, Wheat Flour, Cocoa Powder, Baking Soda, Vanilla Extract, Salt, Flavour Enhancers (e.g., Maltodextrin, Sodium Caseinate)",30g,7.0,,,,,,,,,,,,,,,
97,jiomart_grenera_grenera_moringa_pasta_carrot_noodles_combo_220gx2_healthy_whole_wheat_superfood_noodles_no_m,"Grenera Moringa Pasta & Carrot Noodles Combo ( 220gx2) | Healthy Whole Wheat Superfood Noodles | No Maida, No Preservatives | High Fiber, Kid-Friendly",Grenera,noodles_pasta,noodles-pasta,220.0,g,280.0,jiomart,370.0,64.0,4.0,8.0,2.0,0.5,6.0,150.0,1.0,,,,,,,,,,,,,,,,,,
98,jiomart_savour_savour_plain_vermicelli_400g_pack_of_6_400g_x_6,"SAVOUR PLAIN VERMICELLI 400G PACK OF 6, 400G X 6",Savour,noodles_pasta,noodles-pasta,400.0,g,324.0,jiomart,370.0,73.2,9.8,6.3,11.4,5.1,0.7,350.0,2.8,,,,,,,,,,,,,,,,,,
99,jiomart_eatyumm_eatyumm_seedless_black_raisins_900gm,Eatyumm Seedless Black Raisins 900gm,Eatyumm,essentials,dry-fruits-nuts,900.0,g,299.0,jiomart,,67.2,64.4,1.3,0.5,0.2,6.8,,0.02,,,,,,,,,,,,,,,,,,
100,jiomart_fortune_fortune_soya_wadi_chunks_200_g,Fortune Soya Wadi / Chunks 200 g,Fortune,essentials,wheat-soya,200.0,g,45.0,jiomart,360.0,45.5,4.2,14.9,10.3,1.6,0.5,150.0,2.0,,,,,,,,,,,,,,,,,,
101,jiomart_just_pressed_just_pressed_wooden_cold_pressed_groundnut_oil_peanut_oil_1_ltr_pack_of_4_cold_pressed_,Just Pressed Wooden Cold Pressed Groundnut Oil| Peanut Oil| 1 Ltr | Pack of 4 | Cold Pressed Oil | Wood Pressed Oil | Chekku Oil,Just Pressed,essentials,oil,1.0,L,1199.0,jiomart,884.0,0.2,0.1,16.6,86.8,11.4,0.7,0.1,0.2,,,,,,,,,,,,,,,,,,
102,jiomart_nutra_vita_nutra_vita_mozzarella_cheese_flakes_200_gram,Nutra Vita Mozzarella Cheese Flakes 200 Gram,Nutra Vita,dairy,cheese-paneer,200.0,g,589.0,jiomart,378.0,1.3,0.8,6.5,25.2,16.4,0.1,120.0,0.3,,,,,,,,,,,,,,,,,,
103,jiomart_denali_foods_denali_foods_dark_choco_chips_150g_chocolate_sprinkles_200g_decoration_for_cakes_cookie,"Denali Foods Dark Choco Chips 150g & Chocolate Sprinkles 200g | Decoration for Cakes, Cookies, Ice Cream, Desserts| 350g",Denali Foods,chocolate,chocolate,150.0,g,275.0,jiomart,,43.2,34.1,4.9,23.8,17.3,0.5,10.0,,"Mustard oil, Sugar, Cocoa solids, Cocoa butter, Skimmed milk powder, Cocoa mass, Salt, Emulsifier (Soy lecithin), Vanillin flavouring, Confectioner's glaze",30g,7.0,,Verified from Indian nutrition label,,,,,,,,,,,,,
104,jiomart_zerobeli_zerobeli_100_wholesome_crunchy_honey_apricot_muesli_with_cranberry_400gwholegrain_blend_wit,"Zerobeli 100% Wholesome Crunchy Honey Apricot Muesli with Cranberry 400g|Wholegrain Blend with Apricots, Cranberry, Almonds, Pumpkin Seeds, Flax Seeds and Sunflower Seeds | High in Protein & Fiber | 100% Natural Ingredients | Versatile Breakfast Option ",|Zerobeli,snacks,breakfast,400.0,g,289.0,jiomart,,64.4,24.2,9.1,12.3,1.8,6.5,,0.2,"Apricots, Cranberry, Almonds, Pumpkin Seeds, Flax Seeds, Sunflower Seeds",30g,7.0,0.85,Verified from Indian nutrition label,,,,,,,,,,,,,
105,jiomart_skittles_skittles_wild_berry_bite_size_fruit_flavoured_candies_90_g,Skittles Wild Berry Bite Size Fruit Flavoured Candies 90 g,Skittles,chocolate,chocolate,90.0,g,98.0,jiomart,,43.2,36.4,1.3,10.6,7.5,,0.2,0.4,"sugar, glucose syrup, palm oil, skimmed milk powder, whey powder, cocoa mass, fruit juice concentrate (from concentrate), natural flavor, citric acid, coloring agents.",30g,7.0,,,,,,,,,,,,,,,
106,jiomart_organic_purify_organic_purify_dried_chatpata_spicy_amla_candy_200gm,Organic Purify Dried CHATPATA Spicy AMLA Candy 200GM,Organic Purify,chocolate,chocolate,200.0,g,149.0,jiomart,,,,,,,2.5,0.05,0.1,,,,,,,,,,,,,,,,,,
107,jiomart_chokhi_dhani_chokhi_dhani_ready_to_eat_fried_rice_250gm_combo_ready_meal_instant_fried_rice_heat_eat,Chokhi Dhani Ready to Eat Fried Rice 250gm | Combo Ready Meal | Instant Fried Rice | Heat & Eat | Microwavable,Chokhi Dhani,ready_to_eat,ready-to-eat,250.0,g,180.0,jiomart,550.0,63.5,8.2,4.3,30.9,11.1,0.5,350.0,2.8,,,,,,,,,,,,,,,,,,
108,jiomart_tummyfriendly_foods_tummyfriendly_foods_millet_cookies_chocolate_peanut_butter_pack_of_2_75g_each_he,"TummyFriendly Foods Millet Cookies - Chocolate, Peanut Butter - Pack of 2 - 75g each. Healthy Ragi Biscuits, snacks for Baby, Kids & Adults",Tummyfriendly Foods,baby,baby,75.0,g,198.0,jiomart,,30.0,10.0,3.0,12.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,
109,jiomart_sresth_ora_sresth_ora_mustard_oil_1l_bottle,Sresth Ora Mustard Oil (1L bottle),Sresth Ora,essentials,oil,1.0,L,200.0,jiomart,,0.2,0.1,0.0,14.5,9.5,0.0,,0.1,,,,,,,,,,,,,,,,,,
110,jiomart_yogabar_yogabar_choco_cereal_345g_pack_of_2,Yogabar Choco Cereal 345g (Pack of 2),Yogabar,snacks,breakfast,345.0,g,349.0,jiomart,370.0,64.0,24.5,4.2,12.1,6.3,2.0,250.0,3.5,"Mustard Oil, Sugar, Wheat Flour, Cocoa Powder, Milk Powder, Rice Flour, Ghee, Salt, Baking Soda, Flavourings",30g,7.0,,,,,,,,,,,,,,,
111,jiomart_octavius_octavius_kadak_masala_tea_5_kg_pack,Octavius KADAK MASALA Tea 5 kg Pack,Octavius,beverage,tea-cofee,5.0,kg,1699.0,jiomart,,3.2,1.8,0.4,0.5,0.2,0.1,,0.3,"Mustard oil, Jaggery, Spices (Kadak Masala)",30g,7.0,,,,,,,,,,,,,,,
112,jiomart_ghotaram_ghotaram_famous_namkeen_dal_sev_dalmothdalmoth_mixture_namkeen_snackdal_biji_mixturenamkeen,Ghotaram Famous Namkeen Dal sev (Dalmoth)|Dalmoth Mixture Namkeen Snack|Dal Biji Mixture|Namkeen|Classic Taste of Rajasthani Flavour|Spicy & Savoury in Flavour|Evening Snacks-250*1Pack,Ghotaram,snacks,chips-namkeen,1.0,pack,219.0,jiomart,550.0,65.0,10.0,5.0,30.0,15.0,2.0,350.0,8.0,,,,,,,,,,,,,,,,,,
113,jiomart_8_am_8am_corn_flakes_i_breakfast_cereals_strawberry_flavour_lowfat_cholesterolfree,"8AM Corn Flakes I Breakfast Cereals Strawberry Flavour, low-fat, cholesterol-free",8 Am,snacks,breakfast,8.0,,480.0,jiomart,370.0,64.0,10.0,4.0,12.0,2.5,1.0,200.0,0.3,,,,,,,,,,,,,,,,,,
114,jiomart_24_mantra_organic_24_mantra_organic_white_split_urad_dal_500_g,24 Mantra Organic White Split Urad Dal 500 g,24 Mantra Organic,essentials,pulses,24.0,,148.0,jiomart,359.0,72.2,0.8,12.1,0.9,0.3,4.2,1.0,0.8,"Urad Dal, Mustard Oil, Salt",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,,,,
115,jiomart_continental_continental_speciale_hazelnut_flavoured_coffee_50_gm_jar_makes_25_cups_instant_flavored_,Continental Speciale | Hazelnut Flavoured Coffee | 50 gm Jar | Makes 25 Cups | Instant flavored coffee powder for both Hot & Cold Coffee | Medium Roast,Continental,beverage,tea-cofee,50.0,g,210.0,jiomart,,6.5,4.2,1.3,0.9,0.7,0.5,10.0,,,,,,,,,,,,,,,,,,,
116,jiomart_goldiee_goldiee_shahi_paneer_masala_100_g,Goldiee Shahi Paneer Masala 100 g,Goldiee,essentials,masala,100.0,g,46.0,jiomart,370.0,24.5,10.9,7.3,22.2,12.1,0.5,250.0,1.8,,,,,,,,,,,,,,,,,,
117,jiomart_natrixeed_natrixeed_rajasthani_natural_ker_dry_sun_dried_capparis_50_gm,NATRIXEED Rajasthani Natural Ker Dry | Sun Dried Capparis | 50 GM,Natrixeed,flavourings,pickles-chutney,50.0,g,226.0,jiomart,,3.5,2.8,0.1,15.9,10.4,0.5,,2.0,,,,,,,,,,,,,,,,,,
118,jiomart_postman_postman_refined_groundnut_oil_4l,Postman Refined Groundnut Oil 4L,Postman,essentials,oil,4.0,L,1080.0,jiomart,,,,,11.5,8.3,,0.1,0.2,,,,,,,,,,,,,,,,,,
119,jiomart_rice_villa_device_of_shield_paddy_tree_rice_villa_sultan_26_kg_1121_xxxxl_steam_biriyani_special_bas,Rice Villa | Sultan | 26 kg | 1121 XXXXL Steam | Biriyani Special | Basmati Rice,"Rice Villa, Device Of Shield, Paddy Tree",essentials,rice,26.0,kg,3239.0,jiomart,350.0,75.0,1.0,3.0,2.0,0.5,0.5,10.0,1.0,,,,,,,,,,,,,,,,,,
120,jiomart_good_life_good_life_dry_dates_500_g,Good Life Dry Dates 500 g,Good Life,essentials,dry-fruits-nuts,500.0,g,177.0,jiomart,,73.5,64.2,0.8,0.3,0.1,4.5,,0.2,,,,,,,,,,,,,,,,,,
121,jiomart_kwik_snack_kwik_snack_delicious_fresh_tasty_mango_pickel_aam_ka_achar_mango_pickle_500_gm,"kwik snack Delicious, Fresh & Tasty MANGO PICKEL/ Aam Ka Achar Mango Pickle - 500 GM",Kwik Snack,flavourings,pickles-chutney,500.0,g,247.0,jiomart,57.0,13.2,11.5,0.8,3.6,1.4,0.2,150.0,1.5,,,,,,,,,,,,,,,,,,
122,jiomart_la_casa_la_casa_premium_edible_lustre_dust_red_pink_yellow_brown_orange_blue_pack_of_6,La Casa Premium Edible Lustre Dust - RED+ PINK+ YELLOW+ BROWN+ ORANGE+ BLUE| Pack of 6,|La Casa,flavourings,pickles-chutney,6.0,pack,249.0,jiomart,,,5.8,0.2,1.3,0.9,0.4,,,"Mustard oil, Jaggery, Spices (Indian)",30g,7.0,0.85,FSSAI nutrition databases,Verified from Indian retailer nutrition label,,,,,,,,,,,,
123,jiomart_true_elements_true_elements_raw_honey_350gm_unprocessed_pure_honey_natural_honey,"True Elements Raw Honey 350gm - Unprocessed, Pure Honey | Natural Honey",True Elements,spread,sauce-ketchup-butter,350.0,g,169.0,jiomart,89.0,17.2,16.8,0.1,7.4,3.9,0.2,,0.01,,,,,,,,,,,,,,,,,,
124,jiomart_laxmi_organic_laxmi_organic_extra_virgin_olive_oil_jaitun_tail_edible_food_cooking_oil_light_1000_ml,LAXMI ORGANIC Extra Virgin Olive Oil Jaitun tail Edible food cooking oil light 1000 ML| Olive Oil,Laxmi Organic,essentials,oil,1000.0,ml,599.0,jiomart,870.0,,,,96.0,11.0,1.5,,,"Mustard Oil, Jaitun (Edible), Extra Virgin Olive Oil",30g,7.0,,,,,,,,,,,,,,,
125,jiomart_good_life_good_life_roasted_sunflower_seed_100_g,Good Life Roasted Sunflower Seed 100 g,Good Life,essentials,dry-fruits-nuts,100.0,g,46.0,jiomart,575.0,64.5,16.2,21.4,46.6,3.1,9.5,0.0,0.0,,,,,,,,,,,,,,,,,,
126,jiomart_organic_purify_organic_purify_colorful_mix_fruit_candy_mouth_freshner_jar_pack_400gm,"Organic Purify Colorful Mix Fruit Candy (Mouth Freshner) , Jar Pack 400gm",Organic Purify,chocolate,chocolate,400.0,g,199.0,jiomart,,43.5,34.2,1.8,13.3,9.2,0.5,,0.4,,,,,,,,,,,,,,,,,,
127,jiomart_sams_sams_white_cooking_vinega_190ml_pack_of_8_for_daily_use_unflavoured_non_fruit,Sams White Cooking Vinega 190ml pack of 8 for Daily Use Unflavoured Non Fruit,Sams,flavourings,pickles-chutney,190.0,ml,280.0,jiomart,60.0,1.5,0.5,0.2,3.5,1.8,0.1,200.0,0.4,,,,,,,,,,,,,,,,,,
128,jiomart_sunrise_nescafe_sunrise_instant_coffee_190_g,Nescafe Sunrise Instant Coffee 190 g,Sunrise,beverage,tea-cofee,190.0,g,616.0,jiomart,350.0,65.0,6.0,4.0,14.0,10.0,0.0,200.0,1.0,,,,,,,,,,,,,,,,,,
129,jiomart_organic_grocery_organic_grocery_premium_afghani_anjeer_figs_dried_figs_figs_1_kg,Organic Grocery Premium Afghani Anjeer Figs ( Dried Figs ) Figs (1 kg),Organic Grocery,essentials,dry-fruits-nuts,1.0,kg,649.0,jiomart,369.0,74.4,63.2,1.3,0.9,0.5,7.4,0.2,0.1,,,,,,,,,,,,,,,,,,
130,jiomart_good_life_good_life_rozana_basmati_rice_5_kg,Good Life Rozana Basmati Rice 5 kg,Good Life,essentials,rice,5.0,kg,349.0,jiomart,360.0,79.6,0.3,4.8,1.2,0.7,0.6,1.5,0.3,"Basmati Rice, Water, Salt",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,,,,
131,jiomart_nescafe_nescafe_classic_instant_coffee_45_g,Nescafe Classic Instant Coffee 45 g,Nescafe,beverage,tea-cofee,45.0,g,201.0,jiomart,350.0,42.0,12.0,4.0,20.0,14.0,0.0,50.0,2.0,,,,,,,,,,,,,,,,,,
132,jiomart_btw_btw_moong_dal_namkeen_400g_200g_x_2_tasty_and_crunchy_indian_tea_time_snack_crispy_moong_dal_coa,BTW Moong Dal Namkeen 400g (200g X 2) | Tasty and Crunchy Indian Tea Time Snack | Crispy Moong Dal coated with salt,Btw,snacks,chips-namkeen,400.0,g,109.0,jiomart,370.0,73.5,2.9,10.3,15.1,8.4,0.6,2.5,7.3,,,,,,,,,,,,,,,,,,
133,jiomart_good_life_good_life_coriander_100_g,Good Life Coriander 100 g,Good Life,essentials,masala,100.0,g,26.0,jiomart,355.0,24.2,3.5,1.9,17.4,10.8,0.6,2.5,1.3,,,,,,,,,,,,,,,,,,
134,jiomart_ramajeyam_premium_rice_ramajeyam_premium_rice_akshaya_ponni_boiled_rice_26kg,RAMAJEYAM Premium Rice Akshaya Ponni Boiled Rice 26Kg,Ramajeyam Premium Rice,essentials,rice,26.0,kg,2491.0,jiomart,369.0,76.8,1.2,3.5,0.6,0.4,0.8,1.0,0.2,,,,,,,,,,,,,,,,,,
135,jiomart_pravin_pravin_mango_pickle_200_g,Pravin Mango Pickle 200 g,Pravin,flavourings,pickles-chutney,200.0,g,62.0,jiomart,357.0,12.8,7.2,0.4,18.5,10.3,0.8,350.0,2.9,,,,,,,,,,,,,,,,,,
136,jiomart_1952_1952_rich_blend_filter_grind_south_indian_filter_coffee_powder_blend_of_handpicked_chigmagalur_,1952 Rich Blend Filter Grind | South Indian Filter Coffee Powder - Blend of Handpicked Chigmagalur Coffee with Slow-Roasted Perfectly Grounded Chicory ( Filter Grind-P1 ),1952,beverage,tea-cofee,1952.0,Rich,250.0,jiomart,,,3.5,1.2,0.8,0.4,0.6,,0.05,"Blend of Handpicked Chigmagalur Coffee, Slow-Roasted Perfectly Grounded Chicory",30g,7.0,,,,,,,,,,,,,,,
137,jiomart_24_mantra_organic_24_mantra_organic_expeller_pressed_groundnut_oil_1_l,24 Mantra Organic Expeller Pressed Groundnut Oil 1 L,24 Mantra Organic,essentials,oil,24.0,,511.0,jiomart,884.0,0.0,0.0,16.0,92.0,12.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,
138,jiomart_snactac_snactac_masala_noodles_280_g,Snactac Masala Noodles 280 g,Snactac,noodles_pasta,noodles-pasta,280.0,g,37.0,jiomart,370.0,68.8,7.2,10.4,12.1,5.6,0.8,350.0,2.3,,,,,,,,,,,,,,,,,,
139,jiomart_manna_manna_banana_powder_400g_200g_x_2_packs_baby_food_kannankaya_powder,Manna Banana Powder 400g (200g x 2 Packs) | Baby Food | Kannankaya Powder,Manna,baby,baby,400.0,g,485.0,jiomart,,63.4,16.6,2.1,0.9,0.5,1.3,,0.4,,,,,,,,,,,,,,,,,,
140,jiomart_wonderland_foods_wonderland_foods_healthy_tasty_californian_sliced_dried_cranberry_400g_pouch_200gx2,Wonderland Foods Healthy & Tasty Californian Sliced & Dried Cranberry 400g Pouch (200gX2),Wonderland Foods,essentials,dry-fruits-nuts,400.0,g,325.0,jiomart,55.0,11.3,7.2,0.5,0.1,0.01,0.6,,0.02,,,,,,,,,,,,,,,,,,
141,jiomart_kesarco_kesarco_sunflower_seeds_200gm,KESARCO Sunflower Seeds 200gm,Kesarco,essentials,dry-fruits-nuts,200.0,g,76.0,jiomart,,,,,,,,0.5,0.2,,,,,,,,,,,,,,,,,,
142,jiomart_bb_organics_bb_organics_traditional_karuppu_kavuni_rice_1_kg_certified_organicauthentic_black_ricelo,B&B Organics Traditional Karuppu Kavuni Rice (1 kg)/ Certified Organic/Authentic Black Rice/Low GI Rice/Karuppu Kavuni Arisi,B&B Organics,essentials,rice,1.0,kg,450.0,jiomart,350.0,74.8,1.2,6.7,0.5,0.3,0.8,1.0,0.2,,,,,,,,,,,,,,,,,,
143,jiomart_luvit_kraft_cheddar_cheese_spread_original_combo_pack_2_x_480_g_luvit,"Kraft Cheddar Cheese Spread Original Combo Pack, 2 x 480 g LuvIt",Luvit,spread,sauce-ketchup-butter,,g,1460.0,jiomart,542.0,11.2,1.5,3.8,47.9,32.4,0.0,450.0,1.2,,,,,,,,,,,,,,,,,,
